--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
 46|Paras     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|Effect Spore|Dry Skin    |
 47|Parasect  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|Effect Spore|Dry Skin    |
 48|Venonat   |BUG/POISON       |  60|  55|  50|  45|  40|  55|Compoundeyes|Tinted Lens |Zap Plate (common), Exp. Share (rare)
 49|Venomoth  |BUG/POISON       |  70|  65|  60|  90|  90|  75|Shield Dust |Tinted Lens |
 50|Diglett   |GROUND           |  10|  55|  25|  95|  35|  45|Sand Veil   |Arena Trap  |
 51|Dugtrio   |GROUND           |  35|  80|  50| 120|  50|  70|Sand Veil   |Arena Trap  |
 52|Meowth    |NORMAL           |  40|  45|  35|  90|  40|  40|Pickup      |Technician  |
 53|Persian   |NORMAL           |  65|  70|  60| 115|  65|  65|Limber      |Technician  |Macho Brace (rare)
 54|Psyduck   |WATER            |  50|  52|  48|  55|  65|  50|Damp        |Cloud Nine  |
 55|Golduck   |WATER            |  80|  82|  78|  85|  95|  80|Damp        |Cloud Nine  |Everstone (common)
 56|Mankey    |FIGHTING         |  40|  80|  35|  70|  35|  45|Vital Spirit|Anger Point |
 57|Primeape  |FIGHTING         |  65| 105|  60|  95|  60|  70|Vital Spirit|Anger Point |Life Orb (common), X Special (rare)
 58|Growlithe |FIRE             |  55|  70|  45|  60|  70|  50|Intimidate  |Flash Fire  |Protein (100%)
 59|Arcanine  |FIRE             |  90| 110|  80|  95| 100|  80|Intimidate  |Flash Fire  |TM66 (100%)
 60|Poliwag   |WATER            |  40|  50|  40|  90|  40|  40|Water Absorb|Damp        |
 61|Poliwhirl |WATER            |  65|  65|  65|  90|  50|  50|Water Absorb|Damp        |PP Up (common), Nest Ball (rare)
 62|Poliwrath |WATER/FIGHTING   |  90|  85|  95|  70|  70|  90|Water Absorb|Damp        |
 63|Abra      |PSYCHIC          |  25|  20|  15|  90| 105|  55|Synchronize |Inner Focus |Antidote (rare)
 64|Kadabra   |PSYCHIC          |  40|  35|  30| 105| 120|  70|Synchronize |Inner Focus |Moon Stone (rare)
 65|Alakazam  |PSYCHIC          |  55|  50|  45| 120| 135|  85|Synchronize |Inner Focus |Elixir (common)
 66|Machop    |FIGHTING         |  70|  80|  50|  35|  35|  35|Guts        |No Guard    |
 67|Machoke   |FIGHTING         |  80| 100|  70|  45|  50|  60|Guts        |No Guard    |
 68|Machamp   |FIGHTING         |  90| 130|  80|  55|  65|  85|Guts        |No Guard    |
 69|Bellsprout|GRASS/POISON     |  50|  75|  35|  40|  70|  30|Chlorophyll | -          |
 70|Weepinbell|GRASS/POISON     |  65|  90|  50|  55|  85|  45|Chlorophyll | -          |
 71|Victreebel|GRASS/POISON     |  80| 105|  65|  70| 100|  60|Chlorophyll | -          |Scope Lens (common)
 72|Tentacool |WATER/POISON     |  40|  40|  35|  70|  50| 100|Clear Body  |Liquid Ooze |
 73|Tentacruel|WATER/POISON     |  80|  70|  65| 100|  80| 120|Clear Body  |Liquid Ooze |Dire Hit (common)
 74|Geodude   |ROCK/GROUND      |  40|  80| 100|  20|  30|  30|Rock Head   |Sturdy      |
 75|Graveler  |ROCK/GROUND      |  55|  95| 115|  35|  45|  45|Rock Head   |Sturdy      |Toxic Plate (common)
 76|Golem     |ROCK/GROUND      |  80| 110| 130|  45|  55|  65|Rock Head   |Sturdy      |
 77|Ponyta    |FIRE             |  50|  85|  55|  90|  65|  65|Run Away    |Flash Fire  |Odd Incense (common)
 78|Rapidash  |FIRE             |  65| 100|  70| 105|  80|  80|Run Away    |Flash Fire  |Icicle Plate (common), TM85 (rare)
 79|Slowpoke  |WATER/PSYCHIC    |  90|  65|  65|  15|  40|  40|Oblivious   |Own Tempo   |Moon Stone (100%)
 80|Slowbro   |WATER/PSYCHIC    |  95|  75| 110|  30| 100|  80|Oblivious   |Own Tempo   |Earth Plate (common)
 81|Magnemite |ELECTRIC/STEEL   |  25|  35|  70|  45|  95|  55|Magnet Pull |Sturdy      |TM84 (common)
 82|Magneton  |ELECTRIC/STEEL   |  50|  60|  95|  70| 120|  70|Magnet Pull |Sturdy      |
 83|Farfetch’D|NORMAL/FLYING    |  52|  65|  55|  60|  58|  62|Keen Eye    |Inner Focus |Ultra Ball (common)
 84|Doduo     |NORMAL/FLYING    |  35|  85|  45|  75|  35|  35|Run Away    |Early Bird  |
 85|Dodrio    |NORMAL/FLYING    |  60| 110|  70| 100|  60|  60|Run Away    |Early Bird  |
 86|Seel      |WATER            |  65|  45|  55|  45|  45|  70|Thick Fat   |Hydration   |
 87|Dewgong   |WATER/ICE        |  90|  70|  80|  70|  70|  95|Thick Fat   |Hydration   |
 88|Grimer    |POISON           |  80|  80|  50|  25|  40|  50|Stench      |Sticky Hold |
 89|Muk       |POISON           | 105| 105|  75|  50|  65| 100|Stench      |Sticky Hold |
 90|Shellder  |WATER            |  30|  65| 100|  40|  45|  25|Shell Armor |Skill Link  |
 91|Cloyster  |WATER/ICE        |  50|  95| 180|  70|  85|  45|Shell Armor |Skill Link  |
 92|Gastly    |GHOST/POISON     |  30|  35|  30|  80| 100|  35|Levitate    | -          |Wise Glasses (common), Hyper Potion (rare)
 93|Haunter   |GHOST/POISON     |  45|  50|  45|  95| 115|  55|Levitate    | -          |
 94|Gengar    |GHOST/POISON     |  60|  65|  60| 110| 130|  75|Levitate    | -          |TM34 (rare)
 95|Onix      |ROCK/GROUND      |  35|  45| 160|  70|  30|  45|Rock Head   |Sturdy      |Damp Rock (rare)
 96|Drowzee   |PSYCHIC          |  60|  48|  45|  42|  43|  90|Insomnia    |Forewarn    |Blue Flute (common)
 97|Hypno     |PSYCHIC          |  85|  73|  70|  67|  73| 115|Insomnia    |Forewarn    |
 98|Krabby    |WATER            |  30| 105|  90|  50|  25|  25|Hyper Cutter|Shell Armor |
 99|Kingler   |WATER            |  55| 130| 115|  75|  50|  50|Hyper Cutter|Shell Armor |Energy Root (rare)
100|Voltorb   |ELECTRIC         |  40|  30|  50| 100|  55|  55|Soundproof  |Static      |Icicle Plate (100%)
101|Electrode |ELECTRIC         |  60|  50|  70| 140|  80|  80|Soundproof  |Static      |Mind Plate (common), TM33 (rare)
102|Exeggcute |GRASS/PSYCHIC    |  60|  40|  80|  40|  60|  45|Chlorophyll | -          |Zinc (rare)
103|Exeggutor |GRASS/PSYCHIC    |  95|  95|  85|  55| 125|  65|Chlorophyll | -          |
104|Cubone    |GROUND           |  50|  50|  95|  35|  40|  50|Rock Head   |Lightningrod|Max Repel (common), TM78 (rare)
105|Marowak   |GROUND           |  60|  80| 110|  45|  50|  80|Rock Head   |Lightningrod|Iron Plate (rare)
106|Hitmonlee |FIGHTING         |  50| 120|  53|  87|  35| 110|Limber      |Reckless    |
107|Hitmonchan|FIGHTING         |  50| 105|  79|  76|  35| 110|Keen Eye    |Iron Fist   |
108|Lickitung |NORMAL           |  90|  55|  75|  30|  60|  75|Own Tempo   |Oblivious   |
109|Koffing   |POISON           |  40|  65|  95|  35|  60|  45|Levitate    | -          |Lum Berry (common), TM12 (rare)
110|Weezing   |POISON           |  65|  90| 120|  60|  85|  70|Levitate    | -          |
111|Rhyhorn   |GROUND/ROCK      |  80|  85|  95|  25|  30|  30|Lightningrod|Rock Head   |
112|Rhydon    |GROUND/ROCK      | 105| 130| 120|  40|  45|  45|Lightningrod|Rock Head   |Toxic Plate (common)
113|Chansey   |NORMAL           | 250|   5|   5|  50|  35| 105|Natural Cure|Serene Grace|Up-Grade (common)
114|Tangela   |GRASS            |  65|  55| 115|  60| 100|  40|Chlorophyll |Leaf Guard  |
115|Kangaskhan|NORMAL           | 105|  95|  80|  90|  40|  80|Early Bird  |Scrappy     |
116|Horsea    |WATER            |  30|  40|  70|  60|  70|  25|Swift Swim  |Sniper      |
117|Seadra    |WATER            |  55|  65|  95|  85|  95|  45|Poison Point|Sniper      |
118|Goldeen   |WATER            |  45|  67|  60|  63|  35|  50|Swift Swim  |Water Veil  |Macho Brace (rare)
119|Seaking   |WATER            |  80|  92|  65|  68|  65|  80|Swift Swim  |Water Veil  |
120|Staryu    |WATER            |  30|  45|  55|  85|  70|  55|Illuminate  |Natural Cure|
121|Starmie   |WATER/PSYCHIC    |  60|  75|  85| 115| 100|  85|Illuminate  |Natural Cure|Max Ether (common)
122|Mr. Mime  |PSYCHIC          |  40|  45|  65|  90| 100| 120|Soundproof  |Filter      |Lagging Tail (common)
123|Scyther   |BUG/FLYING       |  70| 110|  80| 105|  55|  80|Swarm       |Technician  |
124|Jynx      |ICE/PSYCHIC      |  65|  50|  35|  95| 115|  95|Oblivious   |Forewarn    |DeepSeaScale (100%)
125|Electabuzz|ELECTRIC         |  65|  83|  57| 105|  95|  85|Static      | -          |Sticky Barb (common), Wide Lens (rare)
126|Magmar    |FIRE             |  65|  95|  57|  93| 100|  85|Flame Body  | -          |Icy Rock (common)
127|Pinsir    |BUG              |  65| 125| 100|  85|  55|  70|Hyper Cutter|Mold Breaker|Shoal Shell (rare)
128|Tauros    |NORMAL           |  75| 100|  95| 110|  40|  70|Intimidate  |Anger Point |
129|Magikarp  |WATER            |  20|  10|  55|  80|  15|  20|Swift Swim  | -          |
130|Gyarados  |WATER/FLYING     |  95| 125|  79|  81|  60| 100|Intimidate  | -          |
131|Lapras    |WATER/ICE        | 130|  85|  80|  60|  85|  95|Water Absorb|Shell Armor |
132|Ditto     |NORMAL           |  48|  48|  48|  48|  48|  48|Limber      | -          |DeepSeaScale (rare)
133|Eevee     |NORMAL           |  55|  55|  50|  55|  45|  65|Run Away    |Adaptability|
134|Vaporeon  |WATER            | 130|  65|  60|  65| 110|  95|Water Absorb|Water Absorb|
135|Jolteon   |ELECTRIC         |  65|  65|  60| 130| 110|  95|Volt Absorb |Volt Absorb |
136|Flareon   |FIRE             |  65| 130|  60|  65|  95| 110|Flash Fire  |Flash Fire  |
137|Porygon   |NORMAL           |  65|  60|  70|  40|  85|  75|Trace       |Download    |Heal Powder (rare)
138|Omanyte   |ROCK/WATER       |  35|  40| 100|  35|  90|  55|Swift Swim  |Shell Armor |
139|Omastar   |ROCK/WATER       |  70|  60| 125|  55| 115|  70|Swift Swim  |Shell Armor |
140|Kabuto    |ROCK/WATER       |  30|  80|  90|  55|  55|  45|Swift Swim  |Battle Armor|TM37 (rare)
141|Kabutops  |ROCK/WATER       |  60| 115| 105|  80|  65|  70|Swift Swim  |Battle Armor|Oval Stone (common), Quick Claw (rare)
142|Aerodactyl|ROCK/FLYING      |  80| 105|  65| 130|  60|  75|Rock Head   |Pressure    |
143|Snorlax   |NORMAL           | 160| 110|  65|  30|  65| 110|Immunity    |Thick Fat   |Razor Fang (100%)
144|Articuno  |ICE/FLYING       |  90|  85| 100|  85|  95| 125|Pressure    | -          |TwistedSpoon (common), TM54 (rare)
145|Zapdos    |ELECTRIC/FLYING  |  90|  90|  85| 100| 125|  90|Pressure    | -          |TM52 (common)
146|Moltres   |FIRE/FLYING      |  90| 100|  90|  90| 125|  85|Pressure    | -          |
147|Dratini   |DRAGON           |  41|  64|  45|  50|  50|  50|Shed Skin   | -          |
148|Dragonair |DRAGON           |  61|  84|  65|  70|  70|  70|Shed Skin   | -          |
149|Dragonite |DRAGON/FLYING    |  91| 134|  95|  80| 100| 100|Inner Focus | -          |
150|Mewtwo    |PSYCHIC          | 106| 110|  90| 130| 154|  90|Pressure    | -          |TM18 (100%)
151|Mew       |PSYCHIC          | 100| 100| 100| 100| 100| 100|Synchronize | -          |Berry Juice (100%)
152|Chikorita |GRASS            |  45|  49|  65|  45|  49|  65|Overgrow    | -          |Mystic Water (common), Armor Fossil (rare)
153|Bayleef   |GRASS            |  60|  62|  80|  60|  63|  80|Overgrow    | -          |TM20 (common)
154|Meganium  |GRASS            |  80|  82| 100|  80|  83| 100|Overgrow    | -          |
155|Cyndaquil |FIRE             |  39|  52|  43|  65|  60|  50|Blaze       | -          |TM78 (common)
156|Quilava   |FIRE             |  58|  64|  58|  80|  80|  65|Blaze       | -          |TM21 (100%)
157|Typhlosion|FIRE             |  78|  84|  78| 100| 109|  85|Blaze       | -          |Skull Fossil (common)
158|Totodile  |WATER            |  50|  65|  64|  43|  44|  48|Torrent     | -          |
159|Croconaw  |WATER            |  65|  80|  80|  58|  59|  63|Torrent     | -          |TM45 (common)
160|Feraligatr|WATER            |  85| 105| 100|  78|  79|  83|Torrent     | -          |
161|Sentret   |NORMAL           |  35|  46|  34|  20|  35|  45|Run Away    |Keen Eye    |
162|Furret    |NORMAL           |  85|  76|  64|  90|  45|  55|Run Away    |Keen Eye    |
163|Hoothoot  |NORMAL/FLYING    |  60|  30|  30|  50|  36|  56|Insomnia    |Keen Eye    |PP Up (common), Power Band (rare)
164|Noctowl   |NORMAL/FLYING    | 100|  50|  50|  70|  76|  96|Insomnia    |Keen Eye    |
165|Ledyba    |BUG/FLYING       |  40|  20|  30|  55|  40|  80|Swarm       |Early Bird  |
166|Ledian    |BUG/FLYING       |  55|  35|  50|  85|  55| 110|Swarm       |Early Bird  |Moon Stone (common)
167|Spinarak  |BUG/POISON       |  40|  60|  40|  30|  40|  40|Swarm       |Insomnia    |
168|Ariados   |BUG/POISON       |  70|  90|  70|  40|  60|  60|Swarm       |Insomnia    |
169|Crobat    |POISON/FLYING    |  85|  90|  80| 130|  70|  80|Inner Focus | -          |
170|Chinchou  |WATER/ELECTRIC   |  75|  38|  38|  67|  56|  56|Volt Absorb |Illuminate  |
171|Lanturn   |WATER/ELECTRIC   | 125|  58|  58|  67|  76|  76|Volt Absorb |Illuminate  |
172|Pichu     |ELECTRIC         |  20|  40|  15|  60|  35|  35|Static      | -          |
173|Cleffa    |NORMAL           |  50|  25|  28|  15|  45|  55|Cute Charm  |Magic Guard |Pecha Berry (common), Reaper Cloth (rare)
174|Igglybuff |NORMAL           |  90|  30|  15|  15|  40|  20|Cute Charm  | -          |Max Elixir (100%)
175|Togepi    |NORMAL           |  35|  20|  65|  20|  40|  65|Hustle      |Serene Grace|Smooth Rock (common), Repel (rare)
176|Togetic   |NORMAL/FLYING    |  55|  40|  85|  40|  80| 105|Hustle      |Serene Grace|White Flute (100%)
177|Natu      |PSYCHIC/FLYING   |  40|  50|  45|  70|  70|  45|Synchronize |Early Bird  |
178|Xatu      |PSYCHIC/FLYING   |  65|  75|  70|  95|  95|  70|Synchronize |Early Bird  |TM72 (common), Meadow Plate (rare)
179|Mareep    |ELECTRIC         |  55|  40|  40|  35|  65|  45|Static      | -          |
180|Flaaffy   |ELECTRIC         |  70|  55|  55|  45|  80|  60|Static      | -          |Full Heal (common), Icy Rock (rare)
181|Ampharos  |ELECTRIC         |  90|  75|  75|  55| 115|  90|Static      | -          |
182|Bellossom |GRASS            |  75|  80|  85|  50|  90| 100|Chlorophyll | -          |Revive (common)
183|Marill    |WATER            |  70|  20|  50|  40|  20|  50|Thick Fat   |Huge Power  |
184|Azumarill |WATER            | 100|  50|  80|  50|  50|  80|Thick Fat   |Huge Power  |Red Flute (common)
185|Sudowoodo |ROCK             |  70| 100| 115|  30|  30|  65|Sturdy      |Rock Head   |
186|Politoed  |WATER            |  90|  75|  75|  70|  90| 100|Water Absorb|Damp        |Dubious Disc (rare)
187|Hoppip    |GRASS/FLYING     |  35|  35|  40|  50|  35|  55|Chlorophyll |Leaf Guard  |
188|Skiploom  |GRASS/FLYING     |  55|  45|  50|  80|  45|  65|Chlorophyll |Leaf Guard  |
189|Jumpluff  |GRASS/FLYING     |  75|  55|  70| 110|  55|  85|Chlorophyll |Leaf Guard  |Heat Rock (common), Poison Barb (rare)
190|Aipom     |NORMAL           |  55|  70|  55|  85|  40|  55|Run Away    |Pickup      |
191|Sunkern   |GRASS            |  30|  30|  30|  30|  30|  30|Chlorophyll |Solar Power |
192|Sunflora  |GRASS            |  75|  75|  55|  30| 105|  85|Chlorophyll |Solar Power |Focus Band (common), TM51 (rare)
193|Yanma     |BUG/FLYING       |  65|  65|  45|  95|  75|  45|Speed Boost |Compoundeyes|Luxury Ball (100%)
194|Wooper    |WATER/GROUND     |  55|  45|  45|  15|  25|  25|Damp        |Water Absorb|TM04 (common)
195|Quagsire  |WATER/GROUND     |  95|  85|  85|  35|  65|  65|Damp        |Water Absorb|Repeat Ball (common), TM02 (rare)
196|Espeon    |PSYCHIC          |  65|  65|  60| 110| 130|  95|Synchronize |Synchronize |Poké Doll (common)
197|Umbreon   |DARK             |  95|  65| 110|  65|  60| 130|Synchronize |Synchronize |
198|Murkrow   |DARK/FLYING      |  60|  85|  42|  91|  85|  42|Insomnia    |Super Luck  |
199|Slowking  |WATER/PSYCHIC    |  95|  75|  80|  30| 100| 110|Oblivious   |Own Tempo   |Meadow Plate (rare)
200|Misdreavus|GHOST            |  60|  60|  60|  85|  85|  85|Levitate    | -          |
201|Unown     |PSYCHIC          |  48|  72|  48|  48|  72|  48|Levitate    | -          |Revival Herb (100%)
202|Wobbuffet |PSYCHIC          | 190|  33|  58|  33|  33|  58|Shadow Tag  | -          |
203|Girafarig |NORMAL/PSYCHIC   |  70|  80|  65|  85|  90|  65|Inner Focus |Early Bird  |Reaper Cloth (common), Moon Stone (rare)
204|Pineco    |BUG              |  50|  65|  90|  15|  35|  35|Sturdy      | -          |
205|Forretress|BUG/STEEL        |  75|  90| 140|  40|  60|  60|Sturdy      | -          |Full Restore (100%)
206|Dunsparce |NORMAL           | 100|  70|  70|  45|  65|  65|Serene Grace|Run Away    |Thunderstone (100%)
207|Gligar    |GROUND/FLYING    |  65|  75| 105|  85|  35|  65|Hyper Cutter|Sand Veil   |TM68 (common), Soul Dew (rare)
208|Steelix   |STEEL/GROUND     |  75|  85| 200|  30|  55|  65|Rock Head   |Sturdy      |
209|Snubbull  |NORMAL           |  60|  80|  50|  30|  40|  40|Intimidate  |Run Away    |Life Orb (rare)
210|Granbull  |NORMAL           |  90| 120|  75|  45|  60|  60|Intimidate  |Quick Feet  |Soul Dew (rare)
211|Qwilfish  |WATER/POISON     |  65|  95|  75|  85|  55|  55|Poison Point|Swift Swim  |Focus Band (common), Red Shard (rare)
212|Scizor    |BUG/STEEL        |  70| 130| 100|  65|  55|  80|Swarm       |Technician  |
213|Shuckle   |BUG/ROCK         |  20|  10| 230|   5|  10| 230|Sturdy      |Gluttony    |Power Bracer (100%)
214|Heracross |BUG/FIGHTING     |  80| 125|  75|  85|  40|  95|Swarm       |Guts        |Thunderstone (100%)
215|Sneasel   |DARK/ICE         |  55|  95|  55| 115|  35|  75|Inner Focus |Keen Eye    |Oval Stone (common)
216|Teddiursa |NORMAL           |  60|  80|  50|  40|  50|  50|Pickup      |Quick Feet  |
217|Ursaring  |NORMAL           |  90| 130|  75|  55|  75|  75|Guts        |Quick Feet  |TM87 (common), Potion (rare)
218|Slugma    |FIRE             |  40|  40|  40|  20|  70|  40|Magma Armor |Flame Body  |
219|Magcargo  |FIRE/ROCK        |  50|  50| 120|  30|  80|  80|Magma Armor |Flame Body  |
220|Swinub    |ICE/GROUND       |  50|  50|  40|  50|  30|  30|Oblivious   |Snow Cloak  |Repeat Ball (common), TM70 (rare)
221|Piloswine |ICE/GROUND       | 100| 100|  80|  50|  60|  60|Oblivious   |Snow Cloak  |
222|Corsola   |WATER/ROCK       |  55|  55|  85|  35|  65|  85|Hustle      |Natural Cure|
223|Remoraid  |WATER            |  35|  65|  35|  65|  65|  35|Hustle      |Sniper      |
224|Octillery |WATER            |  75| 105|  75|  45| 105|  75|Suction Cups|Sniper      |TM27 (rare)
225|Delibird  |ICE/FLYING       |  45|  55|  45|  75|  65|  45|Vital Spirit|Hustle      |
226|Mantine   |WATER/FLYING     |  65|  40|  70|  70|  80| 140|Swift Swim  |Water Absorb|Water Stone (common)
227|Skarmory  |STEEL/FLYING     |  65|  80| 140|  70|  40|  70|Keen Eye    |Sturdy      |TM27 (common), Rock Incense (rare)
228|Houndour  |DARK/FIRE        |  45|  60|  30|  65|  80|  50|Early Bird  |Flash Fire  |Lemonade (100%)
229|Houndoom  |DARK/FIRE        |  75|  90|  50|  95| 110|  80|Early Bird  |Flash Fire  |
230|Kingdra   |WATER/DRAGON     |  75|  95|  95|  85|  95|  95|Swift Swim  |Sniper      |
231|Phanpy    |GROUND           |  90|  60|  60|  40|  40|  40|Pickup      | -          |
232|Donphan   |GROUND           |  90| 120| 120|  50|  60|  60|Sturdy      | -          |TM03 (common), Poké Ball (rare)
233|Porygon2  |NORMAL           |  85|  80|  90|  60| 105|  95|Trace       |Download    |
234|Stantler  |NORMAL           |  73|  95|  62|  85|  85|  65|Intimidate  |Frisk       |
235|Smeargle  |NORMAL           |  55|  20|  35|  75|  20|  45|Own Tempo   |Technician  |
236|Tyrogue   |FIGHTING         |  35|  35|  35|  35|  35|  35|Guts        |Steadfast   |Thunderstone (rare)
237|Hitmontop |FIGHTING         |  50|  95|  95|  70|  35| 110|Intimidate  |Technician  |Exp. Share (rare)
238|Smoochum  |ICE/PSYCHIC      |  45|  30|  15|  65|  85|  65|Oblivious   |Forewarn    |TM46 (100%)
239|Elekid    |ELECTRIC         |  45|  63|  37|  95|  65|  55|Static      | -          |TM74 (rare)
240|Magby     |FIRE             |  45|  75|  37|  83|  70|  55|Flame Body  | -          |PP Up (common)
241|Miltank   |NORMAL           |  95|  80| 105| 100|  40|  70|Thick Fat   |Scrappy     |Poison Barb (100%)
242|Blissey   |NORMAL           | 255|  10|  10|  55|  75| 135|Natural Cure|Serene Grace|Lagging Tail (rare)
243|Raikou    |ELECTRIC         |  90|  85|  75| 115| 115| 100|Pressure    | -          |
244|Entei     |FIRE             | 115| 115|  85| 100|  90|  75|Pressure    | -          |Up-Grade (rare)
245|Suicune   |WATER            | 100|  75| 115|  85|  90| 115|Pressure    | -          |TM68 (common), Power Weight (rare)
246|Larvitar  |ROCK/GROUND      |  50|  64|  50|  41|  45|  50|Guts        | -          |
247|Pupitar   |ROCK/GROUND      |  70|  84|  70|  51|  65|  70|Shed Skin   | -          |
248|Tyranitar |ROCK/DARK        | 100| 134| 110|  61|  95| 100|Sand Stream | -          |
249|Lugia     |PSYCHIC/FLYING   | 106|  90| 130| 110|  90| 154|Pressure    | -          |
250|Ho-Oh     |FIRE/FLYING      | 106| 130|  90|  90| 110| 154|Pressure    | -          |TM52 (100%)
251|Celebi    |PSYCHIC/GRASS    | 100| 100| 100| 100| 100| 100|Natural Cure| -          |Exp. Share (100%)
252|Treecko   |GRASS            |  40|  45|  35|  70|  65|  55|Overgrow    | -          |TM68 (100%)
253|Grovyle   |GRASS            |  50|  65|  45|  95|  85|  65|Overgrow    | -          |Super Repel (100%)
254|Sceptile  |GRASS            |  70|  85|  65| 120| 105|  85|Overgrow    | -          |
255|Torchic   |FIRE             |  45|  60|  40|  45|  70|  50|Blaze       | -          |TM55 (common)
